Name,Total Features,Monosemantic (0),Broad/Consistent (1),Polysemantic (2),Mean Classification,Median Classification
LoRA Features,367,59 (16.1%),146 (39.8%),162 (44.1%),1.28,1.0
MLP Neurons,376,49 (13.0%),100 (26.6%),227 (60.4%),1.47,2.0
